Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pendulum_rail,0.0180843841419525,0.273978384739283,-0.00420217381661675,0,0,0,0.37048529354219,0.00548733542334145,-3.75612596167172E-06,-3.5023304587495E-06,0.000104633994928134,3.24569798016515E-06,0.00548116463609628,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_rail.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_rail.STL,,pendulum_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pendulum_slider_link,0.001619869574778,0.00108185796497699,-0.0269998749142826,0,0,0,0.0582658571037464,8.68382644405515E-06,1.55313204721478E-07,5.45082856706509E-11,2.23593308110749E-05,-4.00718232646675E-09,1.76301108715888E-05,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_slider_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_slider_link.STL,,pendulum_roller-2,Origin_pendulum_slider,Axis_pendulum_slider,pendulum_slider,prismatic,0.0385,0.01,0.27703,3.1416,0,-1.5708,pendulum_rail,0,0,1,0,0,-0.25,0.25,,,,,,,,
pendulum_arm_link,0,0.137569522780703,0.00584792549375092,0,0,0,0.0357759270156992,0.000197057978214731,-4.12891215436228E-20,-1.26266065267032E-21,1.12877603101033E-06,2.45118160750407E-07,0.00019772831649183,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pendulum_model/meshes/pendulum_arm_link.STL,,pendulum_arm-1,Origin_pendulum_arm,Axis_pendulum_arm,pendulum_arm,continuous,0,-0.0240000000000017,-0.0270000000000006,3.14159265358979,1.5707963267949,0,pendulum_slider_link,0,0,1,,,,,,,,,,,,
